,empirical_rolling_corr
2025-08-06 02:00:00,-0.3259546082752652
2025-08-06 03:00:00,-0.32606127679760893
2025-08-06 04:00:00,-0.32617222060523243
2025-08-06 05:00:00,-0.32603251924633053
2025-08-06 06:00:00,-0.3256695845077258
2025-08-06 07:00:00,-0.3252912359233107
2025-08-06 08:00:00,-0.3252653805696615
2025-08-06 09:00:00,-0.32522820587352474
2025-08-06 10:00:00,-0.32586439267950185
2025-08-06 11:00:00,-0.3265711682131244
2025-08-06 12:00:00,-0.32674652798896947
2025-08-06 13:00:00,-0.32675281176240395
2025-08-06 14:00:00,-0.3264249430258581
2025-08-06 15:00:00,-0.3261736373237223
2025-08-06 16:00:00,-0.325756533079286
2025-08-06 17:00:00,-0.3253342402430398
2025-08-06 18:00:00,-0.32517787914506796
2025-08-06 19:00:00,-0.32534071218819716
2025-08-06 20:00:00,-0.3260118474750419
2025-08-06 21:00:00,-0.3270298417232052
2025-08-06 22:00:00,-0.3278366036810534
2025-08-06 23:00:00,-0.32825076824147265
2025-08-07 00:00:00,-0.3286215964414647
2025-08-07 01:00:00,-0.3288884639918402
2025-08-07 02:00:00,-0.32905563039222546
2025-08-07 03:00:00,-0.3291155288685131
2025-08-07 04:00:00,-0.3291947674158144
2025-08-07 05:00:00,-0.3291340810195206
2025-08-07 06:00:00,-0.32887110233846917
2025-08-07 07:00:00,-0.3280079961521846
2025-08-07 08:00:00,-0.3271839903932634
2025-08-07 09:00:00,-0.3258959073982759
2025-08-07 10:00:00,-0.3237719249110512
2025-08-07 11:00:00,-0.32039491474295445
2025-08-07 12:00:00,-0.31703409997737786
2025-08-07 13:00:00,-0.31326511981900323
2025-08-07 14:00:00,-0.30818862363760513
2025-08-07 15:00:00,-0.30315199952952254
2025-08-07 16:00:00,-0.2985476230407343
2025-08-07 17:00:00,-0.2956357833906377
2025-08-07 18:00:00,-0.29378378580915626
2025-08-07 19:00:00,-0.29342617820698014
2025-08-07 20:00:00,-0.2938223280243073
2025-08-07 21:00:00,-0.29433512074930424
2025-08-07 22:00:00,-0.2945958583638944
2025-08-07 23:00:00,-0.2944804942596987
2025-08-08 00:00:00,-0.2930088610163214
2025-08-08 01:00:00,-0.2915603675088015
2025-08-08 02:00:00,-0.29024127117726944
2025-08-08 03:00:00,-0.288933437343781
2025-08-08 04:00:00,-0.2879718130508614
2025-08-08 05:00:00,-0.28735474491984186
2025-08-08 06:00:00,-0.28702618488652165
2025-08-08 07:00:00,-0.28675031272015467
