time,branch,q05,q25,q50,q75,q95,mean
2025-08-01 03:00:00,Stochastic covariance,-0.412180570807719,-0.30656965777527584,-0.19568023612948732,-0.09515574151198425,0.06980717025049814,-0.1953681144567688
2025-08-01 04:00:00,Stochastic covariance,-0.4119732947456442,-0.3072405982962384,-0.1958134549319906,-0.0940950680587916,0.07008574820721375,-0.19527552035571294
2025-08-01 05:00:00,Stochastic covariance,-0.41178806652639577,-0.30758158545293757,-0.19687287933649555,-0.0934088860811219,0.07008075458425808,-0.19524451792604836
2025-08-01 06:00:00,Stochastic covariance,-0.411809168405743,-0.30777692034137705,-0.19712208125778252,-0.09443121315203953,0.0695881784100991,-0.19536418698385152
2025-08-01 07:00:00,Stochastic covariance,-0.4117654916124127,-0.3079272742916097,-0.1970742161110962,-0.09608905276616267,0.06894937969488099,-0.1955047975202674
2025-08-01 08:00:00,Stochastic covariance,-0.41190965097481286,-0.3080436034143009,-0.19633927735308376,-0.09732538920928283,0.0682091105632127,-0.19564249056271626
2025-08-01 09:00:00,Stochastic covariance,-0.4120823625837437,-0.3080760431485371,-0.19669454340187503,-0.09803640431212038,0.06773950473438718,-0.19573316876899607
2025-08-01 10:00:00,Stochastic covariance,-0.412149353190332,-0.3081569362364404,-0.19687204242097495,-0.09865309171420442,0.06762608402209935,-0.19569894628835216
2025-08-01 11:00:00,Stochastic covariance,-0.41235939339873207,-0.30813572221461966,-0.19693487672150617,-0.09895528710669463,0.06768619090086639,-0.19560032515366252
2025-08-01 12:00:00,Stochastic covariance,-0.4126208473157038,-0.30823558795988987,-0.19596351180284605,-0.09909606255729977,0.06776768733755907,-0.19549518738444688
2025-08-01 13:00:00,Stochastic covariance,-0.4126415177275548,-0.30823435296751056,-0.19542155587182086,-0.09917236873529049,0.06802966864406945,-0.19535492408084423
2025-08-01 14:00:00,Stochastic covariance,-0.41270649016518507,-0.307291635482668,-0.19564033267740888,-0.0993153104088009,0.06801795016032076,-0.19519017826098722
2025-08-01 15:00:00,Stochastic covariance,-0.41265754626545625,-0.30693753040370725,-0.19581189005800043,-0.09970173279453726,0.06818372590211835,-0.1951022805094742
2025-08-01 16:00:00,Stochastic covariance,-0.41283779317285696,-0.3061949907688918,-0.19572856581735934,-0.10044194250382407,0.06837669036739968,-0.1951172417939092
2025-08-01 17:00:00,Stochastic covariance,-0.4130827700137859,-0.3059397016626888,-0.19548223709521165,-0.1012747368397836,0.06581682087898869,-0.19519812040030166
2025-08-01 18:00:00,Stochastic covariance,-0.4128528700852223,-0.305516061976498,-0.19505328992365645,-0.10163000063100965,0.06398906103030376,-0.19526736362310207
2025-08-01 19:00:00,Stochastic covariance,-0.4125914367474267,-0.30592705628108796,-0.19468171674689044,-0.10190661655322965,0.06229002375213796,-0.1954206565069005
2025-08-01 20:00:00,Stochastic covariance,-0.4126921687170878,-0.3061999362819514,-0.19429671364864004,-0.1017227673422152,0.06204707594995331,-0.19560170370838176
2025-08-01 21:00:00,Stochastic covariance,-0.41278653812208405,-0.3064663268664398,-0.195304242106292,-0.10366306069113168,0.06148701485888182,-0.1957775891365703
2025-08-01 22:00:00,Stochastic covariance,-0.41308850777711886,-0.30701156642592986,-0.1957769444113709,-0.10462881152923044,0.06044104387708184,-0.19588205451682142
2025-08-01 23:00:00,Stochastic covariance,-0.4130696360159808,-0.3068397254686636,-0.19577327036125192,-0.10464988024289973,0.058365195528604696,-0.19593887082511416
2025-08-02 00:00:00,Stochastic covariance,-0.41326929096453785,-0.30733691695363297,-0.19595431880431136,-0.10461490661343989,0.05654602837287945,-0.19597720093770732
2025-08-02 01:00:00,Stochastic covariance,-0.413133083429536,-0.30758658253946264,-0.1953505503020923,-0.10400382260734944,0.055243455697396915,-0.19598159143252342
2025-08-02 02:00:00,Stochastic covariance,-0.41290310093223287,-0.3068586577048631,-0.19464910941342284,-0.10294397078953499,0.054345257905929575,-0.1960061686578523
2025-08-02 03:00:00,Stochastic covariance,-0.4126222143465873,-0.3059511781516767,-0.19449223922293546,-0.10144377760599138,0.05309676969416621,-0.19611795581907357
2025-08-02 04:00:00,Stochastic covariance,-0.41245871365869824,-0.3049648164024781,-0.19393299335932226,-0.10053661037202236,0.05137343917304548,-0.1961539421220904
2025-08-02 05:00:00,Stochastic covariance,-0.4121917191339979,-0.3034206221317254,-0.19369358614462412,-0.09992910358773217,0.049999415895142785,-0.19619579189807435
2025-08-02 06:00:00,Stochastic covariance,-0.4119412761832418,-0.3031603697175546,-0.19341997028699828,-0.10045027987401828,0.04886186480689172,-0.19635262565388023
2025-08-02 07:00:00,Stochastic covariance,-0.41183308929032275,-0.3031603268788911,-0.19321242640862107,-0.10119660171708247,0.04774179983934841,-0.196532877297225
2025-08-02 08:00:00,Stochastic covariance,-0.4117491004796236,-0.3033221572337995,-0.19302299669341483,-0.100556601303468,0.04674316359983567,-0.19663947681812785
2025-08-02 09:00:00,Stochastic covariance,-0.41165727958871867,-0.30477433294696715,-0.19288139677029587,-0.10004181739261758,0.045736883313037796,-0.19658236777841148
2025-08-02 10:00:00,Stochastic covariance,-0.4113997583665036,-0.30540901825977834,-0.19280438978769632,-0.09952079288587834,0.04489455046533436,-0.19641350899655136
