method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.4689212333333338,4.96280620017177,1.304708644547342,8.6209037557962,0.25,3.082509225869521,14319,3.824473974557985,4.96280620017177
corrected low-price negative spikes,negative,0.4734204611111116,5.2052561155074875,1.3951372674503202,9.015374963564655,0.25,3.0310167322998023,14103,3.944304595502267,5.2052561155074875
corrected low-price negative spikes,negative,0.47791968888888936,5.449030625224282,1.484937844692563,9.413123405756,0.25,2.9805290738771966,13840,4.0602485507320525,5.449030625224282
corrected low-price negative spikes,negative,0.48241891666666714,5.694125449091235,1.5741959577175093,9.81405494046496,0.25,2.930954632138097,13613,4.172305840247344,5.694125449091235
corrected low-price negative spikes,negative,0.4869181444444449,5.940464277543387,1.6629670515286161,10.217961503558158,0.25,2.8822504532041626,13386,4.280476464048141,5.940464277543387
corrected low-price negative spikes,negative,0.4914173722222227,6.186920832444228,1.7509996221122233,10.622842042776233,0.25,2.8348579468744766,13155,4.384760422134443,6.186920832444228
corrected low-price negative spikes,negative,0.4959166000000005,6.4342261176221855,1.838552831689027,11.029899403555344,0.25,2.7883121497531533,12917,4.485157714506251,6.4342261176221855
corrected low-price negative spikes,negative,0.5004158277777783,6.682508392882324,1.9257143472835843,11.439302438481064,0.25,2.742484152234565,12704,4.581668341163562,6.682508392882324
corrected low-price negative spikes,negative,0.504915055555556,6.931734987848459,2.0125204476231424,11.850949528073775,0.25,2.697328914218767,12483,4.67429230210638,6.931734987848459
corrected low-price negative spikes,negative,0.5094142833333338,7.181450579943035,2.0988782114191284,12.264022948466941,0.25,2.6529624032433206,12284,4.763029597334703,7.181450579943035
corrected low-price negative spikes,negative,0.5139135111111116,7.432241892323755,2.184993051434313,12.679490733213196,0.25,2.6091078826998717,12081,4.84788022684853,7.432241892323755
corrected low-price negative spikes,negative,0.5184127388888894,7.683559443264568,2.270734274369673,13.096384612159463,0.25,2.5659171258021587,11870,4.9288441906478635,7.683559443264568
corrected low-price negative spikes,negative,0.5229119666666672,7.9347325412001055,2.355927935843571,13.51353714655664,0.25,2.5235489477383544,11651,5.005921488732701,7.9347325412001055
corrected low-price negative spikes,negative,0.527411194444445,8.186263318773364,2.440743053178122,13.931783584368606,0.25,2.4817731476852143,11461,5.079112121103045,8.186263318773364
corrected low-price negative spikes,negative,0.5319104222222227,8.437917093346455,2.5251277117680626,14.350706474924847,0.25,2.440609942384274,11262,5.148416087758893,8.437917093346455
