method,side,wind_state,intensity_year_inv,bandwidth
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.33864458333333325,0.010068327973555823,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.34318437499999993,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3477241666666666,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.35226395833333324,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3568037499999999,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3613435416666666,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3658833333333333,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3704231249999999,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3749629166666666,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.37950270833333327,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3840424999999999,0.0,0.24514874999999997
"Intensity_final wind-reference: raw support, all return-reversal jumps",negative,0.3885822916666666,0.0,0.24514874999999997
