method,side,wind_state,intensity_year_inv,bandwidth,estimator_type
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.22499999999999998,4.794627751504571,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.22999999999999998,4.745590845604045,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.235,4.695709745989525,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.24,4.644901594811729,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.245,4.59306846514543,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.24999999999999994,4.540176703685357,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.25499999999999995,4.48615707006479,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.25999999999999995,4.438367758867054,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.26499999999999996,4.3941066706479734,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.26999999999999996,4.3483551546510855,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.27499999999999997,4.301008764525552,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.27999999999999997,4.251894747356648,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.285,4.200893331481883,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.29,4.147916206317778,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.295,4.093394092262306,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.3,4.049220931870328,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.30499999999999994,4.002688491424267,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.30999999999999994,3.953675475909616,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.31499999999999995,3.9019690908964457,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.31999999999999995,3.847342109931655,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.32499999999999996,3.7895508463816947,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.32999999999999996,3.7283626730594897,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.33499999999999996,3.663424467088667,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.33999999999999997,3.594322207707894,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.3449999999999999,3.5206816232320213,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.3499999999999999,3.442054578019063,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.3549999999999999,3.3698414077426633,0.3,paper_kernel
"Intensity_model calibration: lagged wind, all return-reversal jumps",positive,0.35999999999999993,3.3103987563981927,0.3,paper_kernel
